,Timestamp,course_enrolled,openhouse,instantdecisionday,onCampusInfoSession,virtualInfoSession,womenWhoDare,regionalCollegeFair,HS_Sharetime,challenger,CSIPPP,HSInfoSession,HSCampusVisit,IndivCampusVisit,workforceDev,corporateTraining,teenArtsFest,CCMSummerCamp,hourOfCode,computingClass_HS,computerClub_HS,computerComp,degree_program,Gender,race,Age
103,2022/10/13 11:58:09 AM EST,CMP 128 Computer Science I,Not Sure,No,Yes,No,No,No,Yes,Not Sure,Not Sure,No,Not Sure,No,No,No,No,No,No,No Impact,No Impact,Some Impact,ShareTime CSIP Program,Man,White/Caucasian,18 and younger
104,2022/10/13 11:58:28 AM EST,CMP 128 Computer Science I,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,High Impact,No Impact,No Impact,Information Technology,Man,Hispanic or Latino,18 and younger
105,2022/10/13 12:00:20 PM EST,CMP 128 Computer Science I,No,No,No,No,No,No,Yes,Not Sure,Yes,Yes,No,No,No,No,Yes,Yes,No,High Impact,No Impact,No Impact,Information Technology,Woman,White/Caucasian,18 and younger
106,2022/10/13 12:01:22 PM EST,CMP 128 Computer Science I,No,No,Yes,No,Not Sure,No,Yes,No,Yes,Yes,No,No,No,No,No,No,Yes,High Impact,High Impact,High Impact,Information Technology,Man,Multi-racial,18 and younger
107,2022/10/13 12:03:03 PM EST,CMP 128 Computer Science I,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Some Impact,No Impact,No Impact,ShareTime CSIP Program,Man,Multi-racial,18 and younger
108,2022/10/13 12:03:06 PM EST,CMP 128 Computer Science I,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,,,,ShareTime CSIP Program,Man,White/Caucasian,18 and younger
109,2022/10/13 12:03:47 PM EST,CMP 128 Computer Science I,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No Impact,No Impact,No Impact,ShareTime CSIP Program,Woman,Multi-racial,18 and younger
110,2022/10/13 12:05:34 PM EST,CMP 128 Computer Science I,Yes,No,Yes,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,High Impact,Some Impact,High Impact,ShareTime CSIP Program,Man,Asian,18 and younger
111,2022/10/13 12:05:35 PM EST,CMP 128 Computer Science I,Not Sure,Not Sure,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No Impact,No Impact,No Impact,ShareTime CSIP Program,Man,White/Caucasian,18 and younger
112,2022/10/13 12:05:51 PM EST,CMP 128 Computer Science I,No,No,Yes,Yes,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,High Impact,No Impact,Some Impact,ShareTime CSIP Program,Man,Multi-racial,18 and younger
