Timestamp,course_enrolled,openhouse,instantdecisionday,onCampusInfoSession,virtualInfoSession,womenWhoDare,regionalCollegeFair,HS_Sharetime,challenger,CSIPPP,HSInfoSession,HSCampusVisit,IndivCampusVisit,workforceDev,corporateTraining,teenArtsFest,CCMSummerCamp,hourOfCode,computingClass_HS,computerClub_HS,computerComp,degree_program,Gender,race,Age 
2022/10/05 10:10:51 AM EST,CMP 128 Computer Science I,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No Impact,No Impact,No Impact,Information Technology,Prefer not to say,White/Caucasian,19-20
2022/10/05 10:13:52 AM EST,CMP 128 Computer Science I,Yes,No,No,No,No,Yes,No,No,No,Yes,No,Yes,No,No,No,No,No,High Impact,No Impact,High Impact,Mechanical engineering,Man,White/Caucasian,18 and younger
2022/10/05 11:38:15 AM EST,CMP 128 Computer Science I,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Some Impact,,,edam,Woman,Multi-racial,18 and younger
2022/10/05 11:38:27 AM EST,CMP 128 Computer Science I,No,No,No,No,No,No,Yes,No,Yes,Yes,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,No,No,,,,Challenger Program,Man,Choose not to reply,18 and younger
2022/10/05 11:38:32 AM EST,CMP 128 Computer Science I,No,No,No,No,No,No,No,No,No,No,Not Sure,Not Sure,No,No,No,No,No,,,,CIS Game Development Option,Prefer not to say,White/Caucasian,18 and younger
2022/10/05 11:38:40 AM EST,CMP 128 Computer Science I,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,,,,Share Time Engineering,Woman,White/Caucasian,18 and younger
2022/10/05 11:39:22 AM EST,CMP 128 Computer Science I,Yes,No,Yes,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No Impact,No Impact,No Impact,Engineering Design and Manufacturing (Time Share),Man,Multi-racial,18 and younger
2022/10/05 11:39:27 AM EST,CMP 128 Computer Science I,Yes,No,No,No,No,Yes,Not Sure,Not Sure,Not Sure,Yes,Yes,Yes,Not Sure,Not Sure,Yes,Not Sure,Not Sure,Some Impact,,Some Impact,Psychology,Woman,White/Caucasian,19-20
2022/10/05 11:40:26 AM EST,CMP 128 Computer Science I,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,,,,Computer Science,Man,Hispanic or Latino,18 and younger
2022/10/05 11:41:22 AM EST,CMP 128 Computer Science I,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Some Impact,High Impact,,Mechanical engineering,Woman,Black/African American,18 and younger
2022/10/05 11:41:39 AM EST,CMP 128 Computer Science I,No,No,Yes,No,No,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No Impact,No Impact,No Impact,Challenger Program,Man,White/Caucasian,18 and younger
2022/10/05 11:41:49 AM EST,CMP 128 Computer Science I,Yes,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,,,,Undecided,Man,White/Caucasian,18 and younger
2022/10/05 11:42:03 AM EST,CMP 128 Computer Science I,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Some Impact,No Impact,No Impact,dont have one,Man,Asian,18 and younger
2022/10/05 11:43:02 AM EST,CMP 128 Computer Science I,Yes,No,Yes,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,Some Impact,No Impact,No Impact,Share time engineering,Man,White/Caucasian,18 and younger
2022/10/05 11:43:16 AM EST,CMP 128 Computer Science I,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No Impact,No Impact,No Impact,Highschool dual enrollment program,Man,Hispanic or Latino,18 and younger
2022/10/05 11:43:19 AM EST,CMP 128 Computer Science I,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No Impact,No Impact,No Impact,Engineering Design and Manufacturing (Time Share),Man,Multi-racial,18 and younger
2022/10/05 11:48:04 AM EST,CMP 128 Computer Science I,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,,,,didn't send professor screenshot,Man,Choose not to reply,18 and younger
2022/10/05 11:48:37 AM EST,CMP 128 Computer Science I,No,No,No,Not Sure,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,High Impact,No Impact,No Impact,Computer Science,I do not identify,Multi-racial,18 and younger
2022/10/05 6:36:24 PM EST,CMP 128 Computer Science I,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,,,High Impact,Computer Science,Man,Asian,21-24
2022/10/05 11:05:46 PM EST,CMP 128 Computer Science I,No,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Some Impact,Some Impact,Some Impact,Computer Science,Man,White/Caucasian,21-24
